Store,Date,Weekly_Sales_Store,IsHoliday,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Type,Size,Total Markdown,Total Sales,SalesPerSqFt,
1,5/2/2010,1643690.9,FALSE,42.31,2.572,0,0,0,0,0,211.0963582,8.106,A,151315,0,1643690.9,10.86270958, 
1,12/2/2010,1641957.44,TRUE,38.51,2.548,0,0,0,0,0,211.2421698,8.106,A,151315,0,1641957.44,10.85125361, 
1,19/2/2010,1611968.17,FALSE,39.93,2.514,0,0,0,0,0,211.2891429,8.106,A,151315,0,1611968.17,10.65306262,
1,26/2/2010,1409727.59,FALSE,46.63,2.561,0,0,0,0,0,211.3196429,8.106,A,151315,0,1409727.59,9.316509203,
1,5/3/2010,1554806.68,FALSE,46.5,2.625,0,0,0,0,0,211.3501429,8.106,A,151315,0,1554806.68,10.27529776,
1,12/3/2010,1439541.59,FALSE,57.79,2.667,0,0,0,0,0,211.3806429,8.106,A,151315,0,1439541.59,9.513541883,
1,19/3/2010,1472515.79,FALSE,54.58,2.72,0,0,0,0,0,211.215635,8.106,A,151315,0,1472515.79,9.731459472,
1,26/3/2010,1404429.92,FALSE,51.45,2.732,0,0,0,0,0,211.0180424,8.106,A,151315,0,1404429.92,9.281498331,
1,2/4/2010,1594968.28,FALSE,62.27,2.719,0,0,0,0,0,210.8204499,7.808,A,151315,0,1594968.28,10.54071493,
1,9/4/2010,1545418.53,FALSE,65.86,2.77,0,0,0,0,0,210.6228574,7.808,A,151315,0,1545418.53,10.21325401,
1,16/4/2010,1466058.28,FALSE,66.32,2.808,0,0,0,0,0,210.4887,7.808,A,151315,0,1466058.28,9.688783531,
1,23/4/2010,1391256.12,FALSE,64.84,2.795,0,0,0,0,0,210.4391228,7.808,A,151315,0,1391256.12,9.194436242,
1,30/4/2010,1425100.71,FALSE,67.41,2.78,0,0,0,0,0,210.3895456,7.808,A,151315,0,1425100.71,9.418106004,
1,7/5/2010,1603955.12,FALSE,72.55,2.835,0,0,0,0,0,210.3399684,7.808,A,151315,0,1603955.12,10.60010653,
1,14/5/2010,1494251.5,FALSE,74.78,2.854,0,0,0,0,0,210.3374261,7.808,A,151315,0,1494251.5,9.875104914,
1,21/5/2010,1399662.07,FALSE,76.44,2.826,0,0,0,0,0,210.6170934,7.808,A,151315,0,1399662.07,9.249988897,
1,28/5/2010,1432069.95,FALSE,80.44,2.759,0,0,0,0,0,210.8967606,7.808,A,151315,0,1432069.95,9.46416383,
1,4/6/2010,1615524.71,FALSE,80.69,2.705,0,0,0,0,0,211.1764278,7.808,A,151315,0,1615524.71,10.67656683,
